Id;Name;Surname;PhoneNumber;Passport;Address;Date;Bonus
60871607-d286-4971-a25e-2175108d860e;Gleb;Ivanov;444444;44444444444;-----;2000-01-01;0
3cd74dd8-47d9-4462-a33d-5fae8fa0425e;Gleb;Ivanov;4444474;444444444447;-----;2000-01-01;0
c368206b-e89a-4e5c-9a1a-ad760a265fb7;Gleb;Ivanov;4444442543;44444444434544;-----;2000-01-01;0
b76a73ed-d55a-4ed1-a95b-140dbee1e427;Юлия;Антонов;(936)321-70-77;IПР 841836896;г. Тирасполь, площадь Строительная;1962-06-23;0
c6ec0680-dcd1-447a-bdfb-0032b6491be6;Варвара;Бобылева;(913)242-68-72;IПР 845331297;г. Тирасполь, пл. Молодежная;1969-11-04;0
6f823a3e-6573-4d8b-bd6a-b9e140ecb92d;Валентин;Большаков;(974)094-55-90;IПР 541275140;г. Тирасполь, проспект Дачная;1966-01-14;0
43be30ec-dcbb-49bd-b32a-00053491ac1f;Валентин;Власов;(912)459-21-77;IПР 184037589;г. Тирасполь, Московская площадь;1922-09-04;0
31d07ce9-6c73-4449-88c3-20f7b0b41bb8;Светлана;Гаврилов;(903)232-90-72;IПР 311927686;г. Тирасполь, Мира пл.;1930-07-31;0
83d0a6a9-ab74-475e-a1f1-72497d9f2157;Олег;Гордеев;(956)711-62-10;IПР 145712877;г. Тирасполь, Сосновая проспект;1932-06-10;0
1e5cafcd-ca0e-47ef-85c7-2b6c480b1951;Геннадий;Гурьева;(922)392-27-12;IПР 392824469;г. Тирасполь, Горького пл.;1952-09-08;0
3b87022c-0c25-4a60-b747-ad32b454d2eb;Лидия;Данилов;(955)496-35-39;IПР 291461414;г. Тирасполь, Космонавтов пр.;1963-03-20;0
6342540e-e637-4bdf-a6d1-f9f9fa537cf4;Егор;Дорофеева;(969)435-82-59;IПР 385177023;г. Тирасполь, проспект Береговая;1950-02-28;0
3758261d-76f4-416d-acc5-853b5075227c;Юлия;Елисеев;(992)769-90-09;IПР 837749263;г. Тирасполь, Почтовая площадь;1976-12-05;0
6d976a81-5d6b-4d13-8c0a-2af8489d6241;Сергей;Журавлева;(992)568-39-62;IПР 767174523;г. Тирасполь, Горького пр.;1924-04-15;0
d041e323-50d0-400b-ae87-75f81df70048;Лука;Кириллов;(914)830-58-23;IПР 849351147;г. Тирасполь, Подгорная площадь;1968-07-18;0
9ca30112-82bd-4672-a5f0-cfed0776d650;Екатерина;Козлов;(969)901-50-70;IПР 667264830;г. Тирасполь, площадь Пушкина;1949-06-05;0
f924e5c7-d9eb-4498-ac9e-e4b3e3685f7d;Анастасия;Колобов;(971)011-49-55;IПР 611422160;г. Тирасполь, ул. Садовый;1956-03-13;0
1d7a6469-6232-4671-8df7-712f10e1ba91;Раиса;Комиссаров;(970)048-83-79;IПР 883719452;г. Тирасполь, пл. Дорожная;1935-03-17;0
13adbf2e-adaf-4e6d-b9e3-97dc505ec73e;Алевтина;Коновалова;(976)582-89-34;IПР 745546409;г. Тирасполь, Интернациональная улица;1950-08-13;0
cbec6879-5201-4499-9c25-945ee3e16a17;Надежда;Котова;(987)220-27-34;IПР 559360855;г. Тирасполь, проспект Солнечная;1917-06-27;0
a4d5c9b1-a842-4a14-96e9-f2a2f067dd98;Матвей;Крюков;(921)754-30-66;IПР 505958187;г. Тирасполь, ул. Калинина;1955-05-17;0
8ad1b4a5-fb88-4eab-9b2c-fde7a6dbb846;Татьяна;Кудрявцев;(992)333-00-16;IПР 173275850;г. Тирасполь, улица Кирова;1959-12-03;0
f783ed01-1e2a-43ab-bcfa-3804da65205b;Антонина;Ларионова;(900)245-11-97;IПР 244222333;г. Тирасполь, пр. Коммунальная;1997-04-20;0
1cc4529e-a299-4f87-af69-f2a36c6f959c;Сергей;Лукин;(982)944-51-43;IПР 315696560;г. Тирасполь, Центральная пл.;1927-10-18;0
0959e1cd-772c-4c3d-930b-934680485517;Егор;Максимова;(992)712-78-19;IПР 825400198;г. Тирасполь, пл. Колхозная;1973-02-11;0
73ff0ac3-ebf7-4dca-83e1-90d5016afd16;Денис;Мамонтова;(907)984-57-35;IПР 323704457;г. Тирасполь, Победы улица;1917-10-22;0
ba72c779-d7c7-4b2e-8675-4d3117d56423;Станислав;Матвеева;(972)371-76-66;IПР 917140008;г. Тирасполь, Северная пр.;1947-02-28;0
d35fd9d9-acd8-4ae6-ab38-e6eb15b66386;Зинаида;Миронов;(935)323-17-25;IПР 188587489;г. Тирасполь, улица Красноармейская;1962-08-06;0
ddadc99e-724f-4825-acc9-9b894c2cecdc;Иван;Миронов;(931)556-84-95;IПР 315973827;г. Тирасполь, Пионерская ул.;2004-06-18;0
ed7fafba-cfdf-4dd3-bd76-68e9b80ec509;Антонида;Михайлова;(928)549-48-75;IПР 343970533;г. Тирасполь, проспект Крупской;1997-04-14;0
e181e5d1-de9e-454b-afbe-8eeffe48c53e;Матвей;Михайлова;(946)082-64-56;IПР 919553802;г. Тирасполь, пр. Спортивная;2004-03-24;0
f254303f-ea3c-4ee7-9bcd-c047d3578d0f;Анжелика;Никифоров;(923)307-55-75;IПР 743699502;г. Тирасполь, площадь Дачная;1986-03-28;0
040d2ab5-fc1e-48ff-989d-859215b37dc2;Андрей;Носов;(995)536-76-62;IПР 307255223;г. Тирасполь, Интернациональная улица;1968-05-09;0
a8e8a186-8585-4246-8317-70113bb4421a;Марина;Петухова;(956)439-31-64;IПР 900597341;г. Тирасполь, ул. Дорожная;1991-08-27;0
1daa7e65-0bde-4a95-9f2e-5044335d4047;София;Савельев;(988)215-51-46;IПР 812187276;г. Тирасполь, Береговая ул.;1952-10-13;0
ea2c8d01-d441-47f3-9301-f62d9bac6749;Борис;Савин;(930)134-29-41;IПР 318796403;г. Тирасполь, Кооперативная проспект;1982-08-04;0
7fbad23d-0283-4922-948a-816c1170b60a;Владислав;Сазонова;(972)433-00-97;IПР 639574220;г. Тирасполь, Восточная проспект;1968-12-10;0
b6dd73c9-4a69-46cd-9b8a-146ab9ba5032;Роман;Селезнев;(998)252-53-16;IПР 713002464;г. Тирасполь, улица Озерная;1939-02-01;0
020fd577-b956-4164-8ec0-d1d62c8b487f;Светлана;Семенова;(971)344-99-10;IПР 684170949;г. Тирасполь, Советская пл.;1978-11-12;0
6ef21d4e-a7f2-4670-bc00-cbedcd421743;Андрей;Соколова;(904)323-73-67;IПР 676754058;г. Тирасполь, Центральная площадь;1947-12-02;0
8d1a1309-8fd1-468c-8a00-6670ef58e245;Альберт;Соловьев;(927)991-60-12;IПР 112308021;г. Тирасполь, Октябрьская площадь;1976-01-19;0
